Local time,Open,High,Low,Close,Volume
01.03.2022 01:06:00.000 GMT+0100,1906.488,1906.568,1906.428,1906.518,19300.0007
01.03.2022 01:07:00.000 GMT+0100,1906.488,1906.708,1906.258,1906.708,17540.0004
01.03.2022 01:08:00.000 GMT+0100,1906.858,1907.328,1906.828,1907.228,24189.9993
01.03.2022 01:09:00.000 GMT+0100,1907.238,1907.518,1907.238,1907.498,21269.9994
01.03.2022 01:10:00.000 GMT+0100,1907.498,1907.648,1907.451,1907.618,18699.9999
01.03.2022 01:11:00.000 GMT+0100,1907.638,1907.638,1907.238,1907.318,16179.9993
01.03.2022 01:12:00.000 GMT+0100,1907.418,1907.618,1907.228,1907.618,26480.0005
01.03.2022 01:13:00.000 GMT+0100,1907.618,1907.688,1907.418,1907.468,17240.0009
01.03.2022 01:14:00.000 GMT+0100,1907.458,1907.588,1907.338,1907.448,9829.9999
01.03.2022 01:15:00.000 GMT+0100,1907.378,1907.378,1906.518,1906.663,27109.9992
01.03.2022 01:16:00.000 GMT+0100,1906.603,1907.198,1906.568,1906.998,16370.0003
01.03.2022 01:17:00.000 GMT+0100,1907.028,1907.358,1907.018,1907.088,12950.0004
01.03.2022 01:18:00.000 GMT+0100,1907.108,1907.138,1906.818,1906.888,11090.0002
01.03.2022 01:19:00.000 GMT+0100,1906.888,1907.088,1906.743,1906.988,9700.0003
01.03.2022 01:20:00.000 GMT+0100,1906.988,1906.988,1906.768,1906.868,8580.0001
01.03.2022 01:21:00.000 GMT+0100,1906.888,1907.358,1906.888,1907.198,12810.0002
01.03.2022 01:22:00.000 GMT+0100,1907.198,1907.198,1906.978,1906.988,3809.9999
01.03.2022 01:23:00.000 GMT+0100,1907.008,1907.098,1906.958,1906.978,9890.0003
01.03.2022 01:24:00.000 GMT+0100,1906.928,1906.948,1906.888,1906.948,3470.0001
01.03.2022 01:25:00.000 GMT+0100,1906.948,1906.998,1906.748,1906.978,16170.0007
01.03.2022 01:26:00.000 GMT+0100,1906.998,1906.998,1906.798,1906.888,14809.9996
01.03.2022 01:27:00.000 GMT+0100,1906.888,1906.908,1906.718,1906.868,15709.9999
01.03.2022 01:28:00.000 GMT+0100,1906.878,1906.908,1906.798,1906.808,6300
01.03.2022 01:29:00.000 GMT+0100,1906.751,1906.858,1906.698,1906.818,9309.9996
01.03.2022 01:30:00.000 GMT+0100,1906.843,1906.918,1906.658,1906.718,14060
01.03.2022 01:31:00.000 GMT+0100,1906.708,1906.723,1906.528,1906.528,14550.0004
01.03.2022 01:32:00.000 GMT+0100,1906.528,1906.528,1906.308,1906.388,20560.0001
01.03.2022 01:33:00.000 GMT+0100,1906.408,1906.418,1906.098,1906.258,18740.0002
01.03.2022 01:34:00.000 GMT+0100,1906.238,1906.238,1905.768,1905.908,17230.0003
01.03.2022 01:35:00.000 GMT+0100,1905.908,1905.918,1905.538,1905.628,15429.9997
01.03.2022 01:36:00.000 GMT+0100,1905.588,1905.958,1905.438,1905.898,41069.9993
01.03.2022 01:37:00.000 GMT+0100,1905.968,1906.038,1905.888,1905.948,13919.9998
01.03.2022 01:38:00.000 GMT+0100,1905.988,1906.208,1905.988,1906.098,13659.9997
01.03.2022 01:39:00.000 GMT+0100,1906.078,1906.108,1905.758,1905.968,10950
01.03.2022 01:40:00.000 GMT+0100,1905.948,1906.028,1905.828,1905.848,9390.0003
01.03.2022 01:41:00.000 GMT+0100,1905.918,1906.148,1905.738,1905.958,32689.9998
01.03.2022 01:42:00.000 GMT+0100,1905.958,1905.978,1905.438,1905.538,26930.0006
01.03.2022 01:43:00.000 GMT+0100,1905.558,1905.578,1905.418,1905.468,26909.9995
01.03.2022 01:44:00.000 GMT+0100,1905.488,1905.508,1905.178,1905.298,17589.9994
01.03.2022 01:45:00.000 GMT+0100,1905.298,1905.438,1905.168,1905.378,23310.0001
01.03.2022 01:46:00.000 GMT+0100,1905.378,1905.628,1905.248,1905.268,19379.9995
01.03.2022 01:47:00.000 GMT+0100,1905.218,1905.638,1905.008,1905.618,16829.9992
01.03.2022 01:48:00.000 GMT+0100,1905.588,1905.728,1905.388,1905.698,14360.0004
01.03.2022 01:49:00.000 GMT+0100,1905.698,1905.698,1905.348,1905.398,14440.0001
01.03.2022 01:50:00.000 GMT+0100,1905.458,1906.068,1905.308,1906.008,26900.0009
01.03.2022 01:51:00.000 GMT+0100,1906.008,1906.128,1905.888,1906.038,16289.9997
01.03.2022 01:52:00.000 GMT+0100,1906.068,1906.408,1905.938,1906.378,13240.0002
01.03.2022 01:53:00.000 GMT+0100,1906.378,1906.708,1906.298,1906.708,20929.9996
01.03.2022 01:54:00.000 GMT+0100,1906.748,1906.748,1905.618,1905.688,71220.0031
01.03.2022 01:55:00.000 GMT+0100,1905.708,1906.238,1905.708,1905.828,51449.9992
01.03.2022 01:56:00.000 GMT+0100,1905.838,1906.108,1905.838,1906.098,39609.9985
01.03.2022 01:57:00.000 GMT+0100,1906.098,1906.108,1905.548,1905.638,38880.0018
01.03.2022 01:58:00.000 GMT+0100,1905.608,1905.738,1905.338,1905.478,27070.0008
01.03.2022 01:59:00.000 GMT+0100,1905.338,1905.378,1905.048,1905.338,14739.9995
01.03.2022 02:00:00.000 GMT+0100,1905.348,1905.768,1904.828,1905.038,89299.9992
01.03.2022 02:01:00.000 GMT+0100,1905.048,1905.048,1903.828,1904.378,62809.9963
01.03.2022 02:02:00.000 GMT+0100,1904.378,1905.188,1904.288,1905.128,37170.0004
01.03.2022 02:03:00.000 GMT+0100,1905.058,1905.058,1903.918,1904.288,31870.0001
01.03.2022 02:04:00.000 GMT+0100,1904.218,1905.018,1903.918,1904.938,49989.9983
01.03.2022 02:05:00.000 GMT+0100,1904.918,1904.918,1904.188,1904.328,34219.9989
01.03.2022 02:06:00.000 GMT+0100,1904.328,1904.348,1903.588,1903.628,26009.9992
01.03.2022 02:07:00.000 GMT+0100,1903.638,1904.188,1903.588,1903.608,30270.0009
01.03.2022 02:08:00.000 GMT+0100,1903.658,1903.888,1903.283,1903.338,32180.0001
01.03.2022 02:09:00.000 GMT+0100,1903.338,1903.748,1903.268,1903.748,28190
01.03.2022 02:10:00.000 GMT+0100,1903.688,1903.738,1903.508,1903.678,20640.0007
01.03.2022 02:11:00.000 GMT+0100,1903.758,1904.028,1903.758,1903.778,20579.9993
01.03.2022 02:12:00.000 GMT+0100,1903.778,1903.778,1903.258,1903.278,20619.9996
01.03.2022 02:13:00.000 GMT+0100,1903.318,1903.648,1903.273,1903.608,16070.0008
01.03.2022 02:14:00.000 GMT+0100,1903.668,1904.003,1903.548,1904.003,16939.9995
01.03.2022 02:15:00.000 GMT+0100,1904.003,1904.468,1904.003,1904.398,36079.9991
01.03.2022 02:16:00.000 GMT+0100,1904.398,1904.568,1904.138,1904.458,25170.0003
01.03.2022 02:17:00.000 GMT+0100,1904.468,1904.538,1903.978,1904.388,32919.9992
01.03.2022 02:18:00.000 GMT+0100,1904.358,1904.378,1904.068,1904.298,25250.0009
01.03.2022 02:19:00.000 GMT+0100,1904.248,1904.378,1904.008,1904.018,28659.9994
01.03.2022 02:20:00.000 GMT+0100,1904.008,1904.378,1904.008,1904.298,22129.9995
01.03.2022 02:21:00.000 GMT+0100,1904.288,1904.578,1904.258,1904.568,26140.0007
01.03.2022 02:22:00.000 GMT+0100,1904.508,1904.958,1904.508,1904.698,28650.0007
01.03.2022 02:23:00.000 GMT+0100,1904.678,1905.168,1904.648,1904.908,31050.0003
01.03.2022 02:24:00.000 GMT+0100,1904.898,1904.968,1904.598,1904.713,43320.0002
01.03.2022 02:25:00.000 GMT+0100,1904.742,1904.744,1904.307,1904.325,65279.9979
01.03.2022 02:26:00.000 GMT+0100,1904.320,1904.338,1904.028,1904.168,93230.0016
01.03.2022 02:27:00.000 GMT+0100,1904.168,1904.459,1904.128,1904.419,88859.9977
01.03.2022 02:28:00.000 GMT+0100,1904.445,1904.788,1904.402,1904.688,73890.0006
01.03.2022 02:29:00.000 GMT+0100,1904.688,1904.728,1904.478,1904.678,76370.0008
01.03.2022 02:30:00.000 GMT+0100,1904.678,1904.718,1904.277,1904.308,85069.9991
01.03.2022 02:31:00.000 GMT+0100,1904.310,1904.528,1904.288,1904.458,125220.0007
01.03.2022 02:32:00.000 GMT+0100,1904.448,1904.448,1903.448,1903.620,76310.0013
01.03.2022 02:33:00.000 GMT+0100,1903.678,1904.078,1903.653,1903.778,55860.0016
01.03.2022 02:34:00.000 GMT+0100,1903.788,1904.138,1903.778,1904.078,49019.9998
01.03.2022 02:35:00.000 GMT+0100,1904.078,1904.118,1903.708,1903.778,22309.9999
01.03.2022 02:36:00.000 GMT+0100,1903.838,1903.858,1903.358,1903.678,30150
01.03.2022 02:37:00.000 GMT+0100,1903.688,1903.928,1903.520,1903.918,44730.0002
01.03.2022 02:38:00.000 GMT+0100,1903.928,1903.928,1903.503,1903.658,27279.9991
